"","Year","Site","Treatment","Block","Plot","Species","Relative.Cover","Mean.Temp","SD.Temp","Richness"
"113",2012,"MAT","NFNP","1","2","Led pal",0.004608295,-9.45,16.82598099,14
"114",2012,"MAT","NFNP","1","2","Rub cha",0.313364055,-9.45,16.82598099,14
"115",2012,"MAT","NFNP","1","2","St. D. Bet.",0.165898618,-9.45,16.82598099,14
"116",2012,"MAT","NFNP","1","3","litter",0.020100503,-9.45,16.82598099,16
"117",2012,"MAT","NFNP","1","3","Bet nan",0.412060302,-9.45,16.82598099,16
"118",2012,"MAT","NFNP","1","3","Car big",0.005025126,-9.45,16.82598099,16
"119",2012,"MAT","NFNP","1","3","Eri vag",0.020100503,-9.45,16.82598099,16
"120",2012,"MAT","NFNP","1","3","Rub cha",0.48241206,-9.45,16.82598099,16
"121",2012,"MAT","NFNP","1","3","St. D. Bet.",0.060301508,-9.45,16.82598099,16
"122",2012,"MAT","NFNP","1","4","moss",0.019704433,-9.45,16.82598099,15
"123",2012,"MAT","NFNP","1","4","bare",0.009852217,-9.45,16.82598099,15
"124",2012,"MAT","NFNP","1","4","Bet nan",0.354679803,-9.45,16.82598099,15
"125",2012,"MAT","NFNP","1","4","Eri vag",0.004926108,-9.45,16.82598099,15
"126",2012,"MAT","NFNP","1","4","Led pal",0.009852217,-9.45,16.82598099,15
"127",2012,"MAT","NFNP","1","4","Rub cha",0.591133005,-9.45,16.82598099,15
"128",2012,"MAT","NFNP","1","4","St. D. Bet.",0.009852217,-9.45,16.82598099,15
"129",2012,"MAT","NFNP","1","5","litter",0.023121387,-9.45,16.82598099,16
"130",2012,"MAT","NFNP","1","5","Bet nan",0.473988439,-9.45,16.82598099,16
"131",2012,"MAT","NFNP","1","5","Car big",0.005780347,-9.45,16.82598099,16
"132",2012,"MAT","NFNP","1","5","Eri vag",0.023121387,-9.45,16.82598099,16
"133",2012,"MAT","NFNP","1","5","Rub cha",0.450867052,-9.45,16.82598099,16
"134",2012,"MAT","NFNP","1","5","Sal pul",0.023121387,-9.45,16.82598099,16
"135",2012,"MAT","NFNP","1","6","litter",0.08988764,-9.45,16.82598099,16
"136",2012,"MAT","NFNP","1","6","Bet nan",0.325842697,-9.45,16.82598099,16
