Year,Site,Treatment,Block,Plot,Species,Relative.Cover,Mean.Temp,SD.Temp
2012,MAT,NFCT,2,4,vole litter,0.064516129,-9.45,16.82598099
2012,MAT,NFCT,2,5,moss,0.031007752,-9.45,16.82598099
2012,MAT,NFCT,2,5,lichen,0.007751938,-9.45,16.82598099
2012,MAT,NFCT,2,5,litter,0.062015504,-9.45,16.82598099
2012,MAT,NFCT,2,5,bare,0.007751938,-9.45,16.82598099
2012,MAT,NFCT,2,5,Bet nan,0.093023256,-9.45,16.82598099
2012,MAT,NFCT,2,5,Car big,0.015503876,-9.45,16.82598099
2012,MAT,NFCT,2,5,Cas tet,0.031007752,-9.45,16.82598099
2012,MAT,NFCT,2,5,Emp nig,0.031007752,-9.45,16.82598099
2012,MAT,NFCT,2,5,Eri vag,0.186046512,-9.45,16.82598099
2012,MAT,NFCT,2,5,Led pal,0.015503876,-9.45,16.82598099
2012,MAT,NFCT,2,5,Pol bis,0.007751938,-9.45,16.82598099
2012,MAT,NFCT,2,5,Rub cha,0.201550388,-9.45,16.82598099
2012,MAT,NFCT,2,5,Sal pul,0.031007752,-9.45,16.82598099
2012,MAT,NFCT,2,5,Vac vit,0.124031008,-9.45,16.82598099
2012,MAT,NFCT,2,5,vole litter,0.15503876,-9.45,16.82598099
2012,MAT,NFCT,2,6,moss,0.087719298,-9.45,16.82598099
2012,MAT,NFCT,2,6,lichen,0.00877193,-9.45,16.82598099
2012,MAT,NFCT,2,6,litter,0.035087719,-9.45,16.82598099
2012,MAT,NFCT,2,6,Bet nan,0.035087719,-9.45,16.82598099
2012,MAT,NFCT,2,6,Car big,0.035087719,-9.45,16.82598099
2012,MAT,NFCT,2,6,Cas tet,0.052631579,-9.45,16.82598099
2012,MAT,NFCT,2,6,Emp nig,0.035087719,-9.45,16.82598099
2012,MAT,NFCT,2,6,Eri vag,0.087719298,-9.45,16.82598099
2012,MAT,NFCT,2,6,Led pal,0.105263158,-9.45,16.82598099
2012,MAT,NFCT,2,6,Pol bis,0.00877193,-9.45,16.82598099
2012,MAT,NFCT,2,6,Rub cha,0.280701754,-9.45,16.82598099
2012,MAT,NFCT,2,6,Sal pul,0.105263158,-9.45,16.82598099
2012,MAT,NFCT,2,6,Vac vit,0.052631579,-9.45,16.82598099
2012,MAT,NFCT,2,6,vole litter,0.070175439,-9.45,16.82598099
2012,MAT,NFCT,2,7,moss,0.037037037,-9.45,16.82598099
2012,MAT,NFCT,2,7,lichen,0.037037037,-9.45,16.82598099
2012,MAT,NFCT,2,7,litter,0.111111111,-9.45,16.82598099
2012,MAT,NFCT,2,7,bare,0.018518519,-9.45,16.82598099
2012,MAT,NFCT,2,7,Bet nan,0.185185185,-9.45,16.82598099
2012,MAT,NFCT,2,7,Car big,0.259259259,-9.45,16.82598099
2012,MAT,NFCT,2,7,Cas tet,0.018518519,-9.45,16.82598099
2012,MAT,NFCT,2,7,Emp nig,0.111111111,-9.45,16.82598099
2012,MAT,NFCT,2,7,Eri vag,0.037037037,-9.45,16.82598099
2012,MAT,NFCT,2,7,Rub cha,0.148148148,-9.45,16.82598099
2012,MAT,NFCT,2,7,Sal pul,0.018518519,-9.45,16.82598099
2012,MAT,NFCT,2,7,Vac vit,0.018518519,-9.45,16.82598099
2012,MAT,NFCT,2,8,moss,0.153846154,-9.45,16.82598099
2012,MAT,NFCT,2,8,lichen,0.008547009,-9.45,16.82598099
2012,MAT,NFCT,2,8,litter,0.017094017,-9.45,16.82598099
2012,MAT,NFCT,2,8,Bet nan,0.068376068,-9.45,16.82598099
2012,MAT,NFCT,2,8,Car big,0.034188034,-9.45,16.82598099
2012,MAT,NFCT,2,8,Cas tet,0.017094017,-9.45,16.82598099
2012,MAT,NFCT,2,8,Emp nig,0.170940171,-9.45,16.82598099
2012,MAT,NFCT,2,8,Eri vag,0.102564103,-9.45,16.82598099
2012,MAT,NFCT,2,8,Led pal,0.034188034,-9.45,16.82598099
2012,MAT,NFCT,2,8,Rub cha,0.273504274,-9.45,16.82598099
2012,MAT,NFCT,2,8,Sal pul,0.085470085,-9.45,16.82598099
2012,MAT,NFCT,2,8,Vac vit,0.034188034,-9.45,16.82598099
2012,MAT,NFNP,2,1,litter,0.01025641,-9.45,16.82598099
2012,MAT,NFNP,2,1,bare,0.030769231,-9.45,16.82598099
2012,MAT,NFNP,2,1,Bet nan,0.102564103,-9.45,16.82598099
2012,MAT,NFNP,2,1,Car big,0.005128205,-9.45,16.82598099
2012,MAT,NFNP,2,1,Eri vag,0.030769231,-9.45,16.82598099
2012,MAT,NFNP,2,1,Rub cha,0.779487179,-9.45,16.82598099
2012,MAT,NFNP,2,1,St. D. Bet.,0.041025641,-9.45,16.82598099
2012,MAT,NFNP,2,2,moss,0.004608295,-9.45,16.82598099
2012,MAT,NFNP,2,2,litter,0.110599078,-9.45,16.82598099
2012,MAT,NFNP,2,2,Bet nan,0.036866359,-9.45,16.82598099
2012,MAT,NFNP,2,2,Car big,0.00921659,-9.45,16.82598099
2012,MAT,NFNP,2,2,Eri vag,0.004608295,-9.45,16.82598099
2012,MAT,NFNP,2,2,Led pal,0.004608295,-9.45,16.82598099
2012,MAT,NFNP,2,2,Rub cha,0.774193548,-9.45,16.82598099
2012,MAT,NFNP,2,2,St. D. Bet.,0.055299539,-9.45,16.82598099
2012,MAT,NFNP,2,3,litter,0.059405941,-9.45,16.82598099
2012,MAT,NFNP,2,3,Bet nan,0.059405941,-9.45,16.82598099
2012,MAT,NFNP,2,3,Car big,0.004950495,-9.45,16.82598099
2012,MAT,NFNP,2,3,Eri vag,0.004950495,-9.45,16.82598099
2012,MAT,NFNP,2,3,Rub cha,0.821782178,-9.45,16.82598099
2012,MAT,NFNP,2,3,St. D. Bet.,0.04950495,-9.45,16.82598099
2012,MAT,NFNP,2,4,litter,0.030612245,-9.45,16.82598099
2012,MAT,NFNP,2,4,Bet nan,0.132653061,-9.45,16.82598099
2012,MAT,NFNP,2,4,Car big,0.005102041,-9.45,16.82598099
2012,MAT,NFNP,2,4,Led pal,0.005102041,-9.45,16.82598099
2012,MAT,NFNP,2,4,Rub cha,0.734693878,-9.45,16.82598099
2012,MAT,NFNP,2,4,St. D. Bet.,0.091836735,-9.45,16.82598099
2012,MAT,NFNP,2,5,litter,0.021276596,-9.45,16.82598099
2012,MAT,NFNP,2,5,Bet nan,0.276595745,-9.45,16.82598099
2012,MAT,NFNP,2,5,Eri vag,0.010638298,-9.45,16.82598099
2012,MAT,NFNP,2,5,Led pal,0.005319149,-9.45,16.82598099
2012,MAT,NFNP,2,5,Rub cha,0.64893617,-9.45,16.82598099
2012,MAT,NFNP,2,5,Vac vit,0.005319149,-9.45,16.82598099
2012,MAT,NFNP,2,5,St. D. Bet.,0.031914894,-9.45,16.82598099
2012,MAT,NFNP,2,6,litter,0.029268293,-9.45,16.82598099
2012,MAT,NFNP,2,6,Bet nan,0.03902439,-9.45,16.82598099
2012,MAT,NFNP,2,6,Car big,0.004878049,-9.45,16.82598099
2012,MAT,NFNP,2,6,Eri vag,0.004878049,-9.45,16.82598099
2012,MAT,NFNP,2,6,Led pal,0.004878049,-9.45,16.82598099
2012,MAT,NFNP,2,6,Rub cha,0.858536585,-9.45,16.82598099
2012,MAT,NFNP,2,6,St. D. Bet.,0.058536585,-9.45,16.82598099
2012,MAT,NFNP,2,7,litter,0.045714286,-9.45,16.82598099
2012,MAT,NFNP,2,7,Bet nan,0.022857143,-9.45,16.82598099
2012,MAT,NFNP,2,7,Emp nig,0.005714286,-9.45,16.82598099
2012,MAT,NFNP,2,7,Eri vag,0.011428571,-9.45,16.82598099
2012,MAT,NFNP,2,7,Led pal,0.068571429,-9.45,16.82598099
2012,MAT,NFNP,2,7,Rub cha,0.777142857,-9.45,16.82598099
2012,MAT,NFNP,2,7,St. D. Bet.,0.068571429,-9.45,16.82598099
2012,MAT,NFNP,2,8,litter,0.076433121,-9.45,16.82598099
2012,MAT,NFNP,2,8,Bet nan,0.076433121,-9.45,16.82598099
2012,MAT,NFNP,2,8,Car big,0.006369427,-9.45,16.82598099
2012,MAT,NFNP,2,8,Eri vag,0.025477707,-9.45,16.82598099
2012,MAT,NFNP,2,8,Rub cha,0.662420382,-9.45,16.82598099
2012,MAT,NFNP,2,8,St. D. Bet.,0.152866242,-9.45,16.82598099
2012,MAT,NFNP,3,1,litter,0.021390374,-9.45,16.82598099
2012,MAT,NFNP,3,1,Bet nan,0.299465241,-9.45,16.82598099
2012,MAT,NFNP,3,1,Eri vag,0.005347594,-9.45,16.82598099
2012,MAT,NFNP,3,1,Rub cha,0.609625668,-9.45,16.82598099
2012,MAT,NFNP,3,1,St. D. Bet.,0.064171123,-9.45,16.82598099
2012,MAT,NFNP,3,2,litter,0.060606061,-9.45,16.82598099
2012,MAT,NFNP,3,2,Bet nan,0.343434343,-9.45,16.82598099
